date,localName,name,countryCode,fixed,global,counties/0,launchYear,types/0
2026-01-01,Año Nuevo,New Year's Day,CL,false,true,,,Public
2026-04-03,Viernes Santo,Good Friday,CL,false,true,,,Public
2026-04-04,Sábado Santo,Holy Saturday,CL,false,true,,,Public
2026-05-01,Día del Trabajo,Labour Day,CL,true,true,,,Public
2026-05-21,Día de las Glorias Navales,Navy Day,CL,true,true,,,Public
2026-06-07,Asalto y Toma del Morro de Arica,Battle of Arica,CL,true,false,CL-AP,,Public
2026-06-21,Día Nacional de los Pueblos Indígenas,National Day of Indigenous Peoples,CL,false,true,,,Public
2026-06-27,San Pedro y San Pablo,Saint Peter and Saint Paul,CL,false,true,,,Public
2026-07-16,Virgen del Carmen,Our Lady of Mount Carmel,CL,true,true,,2007,Public
2026-08-15,Asunción de la Virgen,Assumption of Mary,CL,true,true,,,Public
2026-09-18,Fiestas Patrias,National holiday,CL,true,true,,,Public
2026-09-19,Día de las Glorias del Ejército,Army Day,CL,true,true,,,Public
2026-10-12,Día del Descubrimiento de Dos Mundos,Columbus Day,CL,false,true,,,Public
2026-10-31,Día Nacional de las Iglesias Evangélicas y Protestantes,Reformation Day,CL,false,true,,,Public
2026-11-01,Día de Todos los Santos,All Saints,CL,true,true,,,Public
2026-12-08,Inmaculada Concepción,Immaculate Conception,CL,true,true,,,Public
2026-12-25,Navidad / Natividad del Señor,Christmas Day,CL,true,true,,,Public
